res1           Y1_gamma1      LogPost        
   0.995884E+02   0.242309E+00  -0.589877E+02
   0.997982E+02   0.274167E+00  -0.584463E+02
   0.996584E+02   0.614362E+00  -0.596712E+02
   0.998574E+02   0.207801E+00  -0.583771E+02
   0.997204E+02   0.920102E-01  -0.583409E+02
   0.996319E+02   0.178247E+00  -0.587053E+02
   0.996028E+02   0.178247E+00  -0.588470E+02
   0.998500E+02   0.300687E-01  -0.582404E+02
   0.999589E+02   0.573206E-02  -0.585155E+02
   0.997770E+02   0.180880E+00  -0.583252E+02
   0.100067E+03   0.671116E-02  -0.591022E+02
   0.997743E+02   0.934093E-01  -0.582556E+02
   0.999332E+02   0.158783E+00  -0.584933E+02
   0.998130E+02   0.637705E+00  -0.595893E+02
   0.995943E+02   0.698176E+00  -0.602454E+02
   0.996484E+02   0.500551E+00  -0.592800E+02
   0.100034E+03   0.365745E+00  -0.592420E+02
   0.995945E+02   0.415742E+00  -0.592570E+02
   0.998158E+02   0.349911E+00  -0.585990E+02
   0.998158E+02   0.430448E+00  -0.588089E+02
   0.993851E+02   0.729646E+00  -0.615105E+02
   0.998256E+02   0.631554E+00  -0.595660E+02
   0.999389E+02   0.210360E+00  -0.585672E+02
   0.995085E+02   0.324056E+00  -0.595924E+02
   0.995872E+02   0.430873E-01  -0.588668E+02
   0.997512E+02   0.749265E+00  -0.601668E+02
   0.997066E+02   0.302816E+00  -0.586175E+02
   0.100059E+03   0.669736E+00  -0.603700E+02
   0.999015E+02   0.522707E+00  -0.592144E+02
   0.100096E+03   0.392913E+00  -0.596708E+02
   0.999302E+02   0.514301E+00  -0.592522E+02
   0.994612E+02   0.645680E+00  -0.606847E+02
   0.998519E+02   0.224338E-01  -0.582414E+02
   0.994685E+02   0.371466E+00  -0.599552E+02
   0.998930E+02   0.821761E-01  -0.583295E+02
   0.991795E+02   0.106930E+01  -0.646188E+02
   0.998519E+02   0.615901E+00  -0.595157E+02
   0.100217E+03   0.297143E+00  -0.605278E+02
   0.100197E+03   0.349192E+00  -0.603935E+02
   0.999258E+02   0.452744E-01  -0.584035E+02
   0.100170E+03   0.541266E-01  -0.599530E+02
   0.995828E+02   0.134972E+00  -0.589276E+02
   0.998298E+02   0.540528E+00  -0.591861E+02
   0.997917E+02   0.443331E+00  -0.588471E+02
   0.999595E+02   0.483384E-01  -0.585242E+02
   0.999088E+02   0.445295E+00  -0.589731E+02
   0.996157E+02   0.904028E-01  -0.587256E+02
   0.997987E+02   0.526079E+00  -0.591235E+02
   0.100059E+03   0.211035E+00  -0.591493E+02
   0.999420E+02   0.176006E+00  -0.585393E+02
   0.996811E+02   0.353296E+00  -0.587857E+02
   0.996791E+02   0.492083E+00  -0.591630E+02
   0.997741E+02   0.211686E+00  -0.583643E+02
   0.997741E+02   0.124012E-01  -0.582306E+02
   0.998735E+02   0.313995E+00  -0.585748E+02
   0.999571E+02   0.392819E+00  -0.589676E+02
   0.999571E+02   0.368140E-01  -0.585122E+02
   0.997158E+02   0.281100E+00  -0.585578E+02
   0.995482E+02   0.702085E-01  -0.591207E+02
   0.997977E+02   0.188169E+00  -0.583227E+02
   0.995351E+02   0.776986E+00  -0.608648E+02
   0.995110E+02   0.165267E+00  -0.594287E+02
   0.996180E+02   0.192144E+00  -0.587830E+02
   0.999353E+02   0.419986E+00  -0.589695E+02
   0.995195E+02   0.562810E+00  -0.600546E+02
   0.998885E+02   0.580968E+00  -0.594163E+02
   0.995910E+02   0.582683E+00  -0.597755E+02
   0.999141E+02   0.203224E+00  -0.584839E+02
   0.998508E+02   0.333488E+00  -0.585852E+02
   0.999609E+02   0.319696E-01  -0.585264E+02
   0.995160E+02   0.295192E+00  -0.595025E+02
   0.996316E+02   0.577587E+00  -0.596051E+02
   0.996760E+02   0.251259E+00  -0.586196E+02
   0.100067E+03   0.259660E+00  -0.592551E+02
   0.998484E+02   0.241198E+00  -0.584133E+02
   0.996744E+02   0.701307E+00  -0.600288E+02
   0.999519E+02   0.445282E-02  -0.584883E+02
   0.999826E+02   0.818749E+00  -0.608419E+02
   0.994994E+02   0.487706E+00  -0.599621E+02
   0.100309E+03   0.503875E+00  -0.617361E+02
   0.100087E+03   0.236544E+00  -0.593633E+02
